Tarjeta,Nombre,Tipo,Fecha,Moneda,Importe,No. de cuota
**** 7008,BIMBA BRUDER AV SALT,Comun,27/09/25,Pesos,"1.300,00",
**** 7008,TELEPEAJE,Comun,27/09/25,Pesos,"156,00",
**** 7008,TELEPEAJE,Comun,27/09/25,Pesos,"156,00",
**** 7016,GRANJA EL VAIVEN I,Comun,27/09/25,Pesos,"808,00",
**** 7008,BIMBA BRUDER AV SALT,Comun,28/09/25,Pesos,"180,00",
**** 7008,APPLE.COM/BILL,Comun,29/09/25,Dólares,"3,10",
**** 7016,SUPERMERCADO EXPRES,Comun,29/09/25,Pesos,"819,75",
**** 7016,ZANETTI S.A CASA CEN,Comun,30/09/25,Pesos,"1.087,00",
**** 7016,STARBUCKS COFFEE,Comun,30/09/25,Pesos,"212,50",
**** 7016,REDUC. IVA LEY 17934,,30/09/25,Pesos,"-15,68",
**** 7008,ANCAP CYNEL SA,Comun,01/10/2025,Pesos,"2.739,00",
**** 7016,FARMACIA EL TUNEL 3,Comun,01/10/2025,Pesos,"946,00",
**** 7008,MERLIN,Comun,02/10/2025,Pesos,"200,00",
**** 7008,TELEPEAJE,Comun,02/10/2025,Pesos,"156,00",
**** 7008,TELEPEAJE,Comun,02/10/2025,Pesos,"156,00",
**** 7008,DISA,Comun,03/10/2025,Pesos,"2.749,00",
**** 7008,DISCO N? 9,Comun,03/10/2025,Pesos,"1.692,80",
**** 7016,DECATHLON PTA CARRET,Comun,03/10/2025,Pesos,"900,00",
**** 7016,H&M,Comun,03/10/2025,Pesos,"1.010,00",
**** 7008,SUPER COOPERATIVA PO,Comun,04/10/2025,Pesos,"2.186,00",
**** 7008,CAIO HELADERIA ARTES,Comun,04/10/2025,Pesos,"380,00",
**** 7008,Maria Boniato*HANDY*,Comun,04/10/2025,Pesos,"1.450,00",
**** 7008,REDUC. IVA LEY 17934,,04/10/2025,Pesos,"-106,97",
**** 7008,KINKO,Comun,04/10/2025,Pesos,"389,00",
**** 7016,SUPER COOPERATIVA PO,Comun,04/10/2025,Pesos,"561,00",
**** 7008,MACROMERCADO,Comun,05/10/2025,Pesos,"1.267,00",
**** 7008,RECIBO DE PAGO,,06/10/2025,Pesos,"-104.989,13",
**** 7008,RECIBO DE PAGO,,06/10/2025,Dólares,"-97,73",
**** 7008,SUPER COOPERATIVA PO,Comun,06/10/2025,Pesos,"1.337,00",
**** 7008,FARMACIA EL TUNEL 5,Comun,06/10/2025,Pesos,"116,00",
**** 7016,WIKIMUSCULOS 18 DE J,Comun,06/10/2025,Pesos,"1.469,00",
**** 7008,MERPAGO*MERCADOLIBRE,Comun,07/10/2025,Pesos,"1.828,00",
**** 7016,VETERIANRIA EL RASTR,Comun,07/10/2025,Pesos,"1.670,00",
**** 7016,FARMACIA EL TUNEL 5,Comun,08/10/2025,Pesos,"2.250,00",
**** 7016,FARMACIA EL TUNEL,Comun,08/10/2025,Pesos,"4.469,00",
**** 7008,FONDO DE SOLIDARIDAD,Comun,09/10/2025,Pesos,"1.096,00",
**** 7008,FONDO DE SOLIDARIDAD,Comun,09/10/2025,Pesos,"457,00",
**** 7008,KINKO,Comun,09/10/2025,Pesos,"389,00",
**** 7016,LOJAS RENNER,Comun,09/10/2025,Pesos,"1.998,00",
**** 7008,KINKO,Comun,10/10/2025,Pesos,"198,00",
**** 7008,PP*APPLE.COM/BILL,Comun,10/10/2025,Dólares,"3,10",
**** 7016,FARMASHOP 130 VISA,Comun,10/10/2025,Pesos,"788,00",
**** 7008,SPOTIFY,Comun,11/10/2025,Dólares,"12,43",
**** 7008,PATRIMONIO CAFE,Comun,11/10/2025,Pesos,"1.254,00",
